Days	G0	G25	G50	G75	G100	
298	7.607	8.464	9.111	9.803	10.884
299	7.614	8.472	9.12	9.813	10.894
300	7.621	8.48	9.128	9.822	10.904
301	7.628	8.488	9.137	9.831	10.914
302	7.635	8.495	9.145	9.84	10.925
303	7.642	8.503	9.153	9.849	10.935
304	7.649	8.511	9.162	9.858	10.945
305	7.656	8.519	9.17	9.867	10.955
306	7.663	8.527	9.179	9.876	10.965
307	7.67	8.534	9.187	9.885	10.975
308	7.677	8.542	9.195	9.894	10.985
309	7.684	8.55	9.203	9.903	10.995
310	7.691	8.557	9.212	9.912	11.005
311	7.697	8.565	9.22	9.921	11.015
312	7.704	8.573	9.228	9.93	11.025
313	7.711	8.58	9.236	9.939	11.035
314	7.718	8.588	9.245	9.947	11.045
315	7.725	8.595	9.253	9.956	11.055
316	7.732	8.603	9.261	9.965	11.065
317	7.738	8.61	9.269	9.974	11.075
318	7.745	8.618	9.277	9.983	11.085
319	7.752	8.626	9.285	9.991	11.094
320	7.759	8.633	9.294	10	11.104
321	7.765	8.641	9.302	10.009	11.114
322	7.772	8.648	9.31	10.018	11.124
323	7.779	8.656	9.318	10.027	11.134
324	7.785	8.663	9.326	10.035	11.144
325	7.792	8.67	9.334	10.044	11.153
326	7.799	8.678	9.342	10.053	11.163
327	7.805	8.685	9.35	10.061	11.173
328	7.812	8.693	9.358	10.07	11.182
329	7.819	8.7	9.366	10.079	11.192
330	7.825	8.708	9.374	10.087	11.202
331	7.832	8.715	9.382	10.096	11.212
332	7.839	8.722	9.39	10.104	11.221
333	7.845	8.73	9.398	10.113	11.231
334	7.852	8.737	9.406	10.122	11.24
335	7.858	8.744	9.414	10.13	11.25
336	7.865	8.752	9.422	10.139	11.26
337	7.872	8.759	9.429	10.147	11.269
338	7.878	8.766	9.437	10.156	11.279
339	7.885	8.774	9.445	10.164	11.288
340	7.891	8.781	9.453	10.173	11.298
341	7.898	8.788	9.461	10.181	11.308
342	7.904	8.795	9.469	10.19	11.317
343	7.911	8.802	9.477	10.198	11.327
344	7.917	8.81	9.484	10.207	11.336
345	7.924	8.817	9.492	10.215	11.346
346	7.93	8.824	9.5	10.224	11.355
347	7.936	8.831	9.508	10.232	11.364
348	7.943	8.839	9.516	10.24	11.374
349	7.949	8.846	9.523	10.249	11.384
350	7.956	8.853	9.531	10.257	11.393
351	7.962	8.86	9.539	10.266	11.402
352	7.969	8.867	9.546	10.274	11.412
353	7.975	8.874	9.554	10.282	11.421
354	7.981	8.881	9.562	10.291	11.431
355	7.988	8.889	9.57	10.299	11.44
356	7.994	8.896	9.577	10.307	11.449
357	8	8.903	9.585	10.316	11.459
358	8.007	8.91	9.593	10.324	11.468
359	8.013	8.917	9.6	10.332	11.477
360	8.019	8.924	9.608	10.341	11.487
361	8.026	8.931	9.616	10.349	11.496
362	8.032	8.938	9.623	10.357	11.505
363	8.038	8.945	9.631	10.365	11.515
364	8.045	8.952	9.638	10.374	11.524
365	8.051	8.959	9.646	10.382	11.533
366	8.057	8.966	9.654	10.39	11.542
367	8.063	8.973	9.661	10.398	11.551
368	8.07	8.98	9.669	10.406	11.561
369	8.076	8.987	9.676	10.415	11.57
370	8.082	8.994	9.684	10.423	11.579
371	8.088	9.001	9.691	10.431	11.588
372	8.095	9.008	9.699	10.439	11.598
373	8.101	9.015	9.706	10.447	11.607
374	8.107	9.022	9.714	10.455	11.616
375	8.113	9.029	9.721	10.464	11.625
